Precio,Direccion,Actualizado,Gastos_Comunes,Piso,Apartamentos_por_Pisos,Cantidad_de_Pisos,Tipo_de_Propiedad,Zona,Estado,Disposicion,Banos,Habitaciones,M2_edificados,M2_de_terraza,M2_del_terreno,Ano_de_Construccion,Dormitorios,Garajes,Plantas,Vista_al_mar,Vivienda_Social,Deposito,Barbacoa,Calefaccion,Mascota,Playroom,GYM,Cochera,Gas_Caneria,Patio,Solarium,Jardin,Duplex,Salon,Aire_Acondicionado,Losa_Radiante,Closet,Parrillero,Balcon,WiFi,Piscina,Amueblado,Descripcion
1075,Bulevar España esquina Roque Graseras,2023-09-21,425,1,2,10,Apartamento,Pocitos,Excelente estado,Al frente,3,5,86,16,86,1966,4,0,3.0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Apartamento a menos de 200 metros de la Rambla con frente a Bulevar España, y patio de uso exclusivo de 16 metros cuadrados!!!!Se alquila con muebles a $47.000 (En el caso de alquilar con muebles, se alquila con todos los muebles de las fotos, más una cama matrimonial para el dormitorio principal, se muestra foto)Consta de la siguientes comodidades:Living comedor de 20 metros cuadrados con moquette, comunicado al pasillo de distribución con un puerta que separa el área social del área personal. Por el pasillo de distribución se accede al dormitorio principal de importante tamaño con placard, y dos dormitorios con placares baño principal y baño social. Dos dormitorios son al frente y el tercer dormitorio es al contrafrente con vista a patio de la unidad.Cocina completa que comunica con habitación de servicio y baño de servicio. La habitación de servicio, hoy se utiliza como comedor diario, con vista al patio de uso exclusivo.La unidad consta de tres baños, dos completos y uno social. Los dormitorios y la habitación de servicio tiene parquet en excelente estado de mantenimiento. El dormitorio tiene persiana con apertura y cierre motorizada, y la cocina y todas las habitaciones que dan al patio de uso exclusivo tiene reja.La mesa del comedor se cierra y queda como mesa de arrime, generando más espacio en el living comedor. (se incluyeron fotos con la mesa cerrada y armada).Se puede alquilar garage en el edificio a $4.000.-El Edificio cuenta con calefacción con losa radiante y gas por cañeria. Un apartamento con todas las comodidades para 5 o 6 personas!Garantías que se aceptan: Aseguradoras y Contaduría, Depósito Bhu. Se estudian otras opciones, no se acepta garantía de propiedad.Comisión de la inmobiliaria un mes de alquiler más iva."
900,Brenda 6011,2023-09-05,157,1,4,4,Apartamento,Punta Gorda,Buen estado,Al frente,2,4,73,2,73,1970,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Belastiquí y Brenda, muy próximo a la Rambla.Primer piso por ascensor, con vistas despejadas.Living comedor con piso flotante.Cocina definida, terraza lavadero.Baño completo con mampara y baño social.2 dormitorios amplios con placar y 3er dormitorio o escritorio. Garaje.G.C. $ 6.300"
2200,,2023-09-15,0,0,0,0,Casa,Carrasco,Buen estado,Al frente,3,4,130,0,130,1995,3,2,2.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"Muy linda casa en Carrasco Sur, a 1 cuadra del Mar. 355 metros de terreno y 130 metros edificados en 2 plantas.Planta baja: Hall de entrada, living con estufa a leña, estar con salida al fondo, comedor , toilette, y cocina semi integrada. Salida a jardín con parrillero, deck y depósito.Planta alta: 3 dormitorios, 2 baños, el principal en suite con espacio de vestidor con placares Calefacción por aires acondicionados en Planta Baja de 24.000 BTU y en dos dormitorios.Cochera para 2 autos"
650,Victor Haedo 2190,2023-10-04,95,6,0,0,Apartamento,Cordón,A estrenar,Al frente,1,2,50,10,50,2023,1,1,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Excelente apartamento A ESTRENAR 6 to piso con GARAJE , visita despejada , amplios ambientes. Cuenta con cocina equipada y sector lavadero, living comedor con acceso a terraza , previsión de aire acondicionado, baño completo, dormitorio con placares, previsión aire acondicionado en dormitorio y acceso a terraza. El edificio pose barbacoa equipada en su piso 11 con vistas panorámicas , sector de gym con aparatos de gimnasio, solárium y laundry.Acceso a garaje a nivel de calle con portones automatizados.Garantía de alquiler ANDA , CONTADURÍA o PORTO SEGUROS . Una excelente relación precio en una zona con todos los servicios. Por visitas o consultas no dude en contactarnos"
750,Fernández Crespo 2081,2023-10-03,175,14,0,0,Apartamento,Cordón,Excelente estado,Al frente,1,4,75,0,75,0,3,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Excelente apartamento con GARAJE piso 14 , visita despejada , amplios ambientes súper luminoso. Cuenta con amplio living comedor con pisos flotantes y moquete con estufa imitación leña a gas y aire acondicionado, cocina definida equipada y sector terraza lavadero, baño completo con calefon, 3 dormitorios con aire acondicionados y 2 de ellos con placares.El edificio pose servicio de portería 24 horas y gastos comunes $ 7000Acceso a garaje automatizado de facil acceso con espacio para box.Garantía de alquiler PORTO SEGUROS . Una excelente relación precio en una zona con todos los servicios. Por visitas o consultas no dude en contactarnos"
1237,Vidal y Fuentes - Departamento - Parque Batlle - Complejo privado Molino del Parque,2023-10-05,225,0,0,0,Apartamento,Parque Batlle,A estrenar,Al frente,2,3,84,0,115,0,2,1,,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"                                                                                                                                                                                                                                    Vidal y Fuentes, casi Ricaldoni. Apartamento 2 dorm. + 2 baños (1 en suite) + terraza/deck + patio/jardín.         + Cochera individual (Subsuelo 23 c).COMPLEJO PRIVADO MOLINO DEL PARQUE:En un predio único en el barrio Parque Batlle, con 4.600 m2 de terreno, se inserta el complejo privado Molino del Parque. Un barrio country en medio de la ciudad de Montevideo.Molino del Parque cuenta con la seguridad y tranquilidad del barrio privado, y con la comodidad de estar cerca de todos los servicios.En un predio totalmente cercado y con vigilancia para ofrecer a sus miembros la seguridad que merecen en su hogar.Su ubicación en plena zona urbana de Parque Batlle, un universo de servicios, centros médicos, deportivos, diplomáticos, comerciales, culturales y educativos; lo convierte en un oasis de tranquilidad.Las residencias de Molino del Parque, con amplias dimensiones internas pensadas en necesidades reales, se ajustan a tus deseos.Caracterizado por los espacios abiertos, la naturaleza, materiales naturales (piedra, madera, agua) y la tranquilidad y seguridad que brinda un espacio definido y controlado. La plaza interna abierta, no sólo permite una adecuada privada dada por la distancia entre bloques, sino que además aporta un espacio atractivo con mobiliario y vegetación, perfecto para actividades lúdicas, interacción, esparcimiento y contacto con la naturaleza.AMENITIES:- Parque del Jacarandá /1500 m2 de parque con equipo, vegetación y grandes áreas libres.- Barbacoa al aire libre.- Salón de eventos y reuniones, totalmente equipado.- Laundry común.- Área para personal de servicio.- Estacionamientos para motos y bicicletas.- Halls de acceso diferenciados, de atractivo diseño y mobiliario.- *Seguridad 24 hs con CCTV, recepción y acceso controlado, cerca eléctrica, iluminación de seguridad y sistema de alarma.*Próximos amenities:- Piscina exterior climatizada y solárium.- Gimnasio equipado.- Sala de juegos.- Rincón de esparcimiento Liquid Ambar / 500 m2 de jardín con vegetación y servicios.APARTAMENTO:- Apartamento de excelente calidad, ubicado en Planta Baja, Torre B, acceso por amplio Hall de diseño, - Amplio living comedor, con aire acondicionado individual. Grandes ventanales y persianas, que permiten gran iluminación y ventilación natural,  acceso directo a terraza deck de uso exclusivo, vista hacia Parque del Jacarandá, y jardín lateral. Diseño tendencia en barrios Country. - Cocina definida de grandes dimensiones, y gran espacio de almacenamiento. - Terraza lavadero, con previsión para instalar lavarropas, secarropa y calefón.- Patio con jardín de uso exclusivo.- Dormitorio principal con baño en suite, amplios placares y aire acondicionado.- Segundo dormitorio con amplios placares y aire acondicionado.- Segundo baño completo.- Cochera con baulera, en subsuelo. De acceso directo por ascensor. Unidad B008.- Área propia c/muros 73 m2.- Deck 13 m2.- Área Jardín 18 m2.- Área pallier 11 m2.- Área Total 115 m2.- Gastos comunes estimados: $9.000.Garantías aceptadas: Aseguradora (PORTO, SURA, MAPFRE, SANCOR, FIDEICIU, O SIMILAR). Anda o Contaduría.No acepta garantía de propiedad ni depósito.Comisión Inmobiliaria 1 mes alquiler + I.V.A.***             "
2600,Barradas,2023-09-27,675,3,0,0,Apartamento,Carrasco,Excelente estado,Al frente,3,4,0,0,157,2013,3,2,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"Alquiler de Apartamento 3 o 4 DORMITORIOS Carrasco Sur, Montevideo.Proximo Ingreso: Principios Junio 2023Barradas y Rivera. Edificio moderno. 3er piso al frente con gran vista despejada al parque y mar. Muy amplio, con buena distribucion, circulacion y muy luminoso Area propia ;157 metros + 23 metros de terrazas. Comodidades: Hall de entrada despojador y toilette. Living comedor amplio con estufa a leña, salida a terraza con parrillero. Estar o 4º dormitorio con salida a terraza y puerta corrediza.Cocina definida amplia, terraza lavadero. Dormitorio y baño de servicio.3 dormitorios amplios todos con placares, 2 baños completos , uno de ellos en suite.Calefacción por losa radiante sectorizada por ambiente. Todo el apartamento con buenos pisos de madera y muy buenos placares.El edificio cuenta con vigilancia presencial las 24 horas y cerca eléctrica con alarma. Gastos comunes: $ 27.000 aprox. Muy completo. Con garage doble en subsuelo mas gran bauleraLlaves (CW139153)"
3200,Avenida de las Américas,2023-09-28,400,1,0,0,Apartamento,Carrasco,A estrenar,Al frente,3,4,0,0,167,2023,3,0,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,"Alquiler de apartamento en edificio Vilago sobre Av. de las Américas.Nuevo en el mercado. A estrenar, pronto para ocupar.Hall de entrada, living y comedor con estufa a leña, amplia terraza con parrillero y una divina vista al lago.Cocina con doble mesada, terraza lavadero y baño de servicio.Baño social.Tres dormitorios y 2 baños, principal en suite con vestidor. Todos los dormitorios con buenos placares.Calefacción por losa radiante a gas por caldera Baxi.Se alquila con cortinas, algunos artefactos de luz, horno, anafe y campana.Previsión de AA en todos los ambientes.Dos cocheras, una atras de la otra. Amplia Baulera El edificio cuenta con vigilancia 24 hrs presencial y seguridad y portería virtual, cámaras de seguridad y amenities: Gimnasio, parrillero comun, piscina.Gastos comunes $ 16000 por mes.No incluye mueblesDisponemos de Llaves (CW202226)"
450,DEFENSA,2023-09-01,0,0,0,0,Local Comercial,Tres Cruces,Buen estado,Al frente,1,1,50,0,50,1931,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Padin Negocios Inmobiliarios. Alquila local comercial en Tres Cruces.Ubicado en Defensa esquina Goes y Miguelete.Consta de dos entradas independientes, amplio salón principal, depósito en el sótano, cocina y patio pequeño. Alquiler $ 18.000Garantías: Depósito de BHU (10 meses), Porto Seguro, Sura, FIDECIU, Mapfre y Zurich Santander. (No acepta Anda)Contáctanos para una visita Tel. *** Mail: ***  (CW200322)"
5000,Los Olivos,2023-09-19,0,0,0,0,Casa,Carrasco,A estrenar,,2,5,220,0,290,0,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Se alquila espectacular casa a estrenar amoblada de 1 planta en barrio semi privado de Montevideo - Los OlivosLa casa cuenta con:- Amplio living comedor con estufa de leña y ventanales a una muy agradable pérgola- Cocina definida con isla- Estar- Escritorio al frente- Toilette de visitas- Dormitorio principal en suite con vestidor- Dos dormitorios amplios con placares- Segundo baño completo- Amplia pérgola con área de living- Parrillero con barra- PiscinaAdemás:- Garaje para 4 autos- Amplio jardín al fondo- Sistema de cámaras perimetrales- Seguridad 24 horas con monitoreo del barrioFecha de entrada Enero 2024Los precios publicados no incluyen la comisión inmobiliaria (3%+iva) escribano ni ITP.
